Architecture,Total_Agents,Cores_Used,Migration_Interval,Run_ID,Final_Fitness,Execution_Time_Sec
Classic Serial,30,1,N/A,0,33.82918518645232,0.33145969999895897
Classic Serial,30,1,N/A,1,33.828922945392435,0.26814800000283867
Classic Serial,30,1,N/A,2,31.838820030057946,0.2732890000042971
Classic Serial,30,1,N/A,3,28.89145716316949,0.2694151000032434
Classic Serial,30,1,N/A,4,24.874115768660488,0.2739702999970177
Classic Serial,30,1,N/A,5,38.80356810961382,0.2735009000025457
Classic Serial,30,1,N/A,6,14.926079702342122,0.2638643999962369
Classic Serial,30,1,N/A,7,45.77302816840586,0.2639674000092782
Classic Serial,30,1,N/A,8,31.839454452913145,0.2694921000074828
Classic Serial,30,1,N/A,9,35.81858737348642,0.2718548999982886
Classic Serial,60,1,N/A,0,32.83930000070117,0.53255459999491
Classic Serial,60,1,N/A,1,20.89588001218752,0.5313422000035644
Classic Serial,60,1,N/A,2,23.880161740251282,0.5435481000022264
Classic Serial,60,1,N/A,3,25.924229291071043,0.5384182000125293
Classic Serial,60,1,N/A,4,16.9780288369422,0.5302001999953063
Classic Serial,60,1,N/A,5,34.82618861547155,0.5421093999902951
Classic Serial,60,1,N/A,6,22.8841809212,0.527823399999761
Classic Serial,60,1,N/A,7,19.90014748880239,0.5205222000076901
Classic Serial,60,1,N/A,8,17.909632894238115,0.5451186999998754
Classic Serial,60,1,N/A,9,22.88404961757729,0.5465533999959007
Classic Serial,100,1,N/A,0,20.894164549087748,0.9112273999926401
Classic Serial,100,1,N/A,1,30.027581668836916,0.928082300000824
Classic Serial,100,1,N/A,2,15.919343185103003,0.8819237999996403
Classic Serial,100,1,N/A,3,27.932634397059275,0.9368452999915462
Classic Serial,100,1,N/A,4,19.899190545954866,0.9233089000044856
Classic Serial,100,1,N/A,5,21.889068714818535,0.9188494999980321
Classic Serial,100,1,N/A,6,17.909258276619255,0.9096441000001505
Classic Serial,100,1,N/A,7,24.88089029181353,0.9100180999957956
Classic Serial,100,1,N/A,8,31.83866015634723,0.9081589999987045
Classic Serial,100,1,N/A,9,23.879237301898854,0.8869144000054803
Classic Serial,120,1,N/A,0,31.846894927821012,1.091868899995461
Classic Serial,120,1,N/A,1,37.808390523766064,1.1009054000023752
Classic Serial,120,1,N/A,2,36.81349260363103,1.0802377999934833
Classic Serial,120,1,N/A,3,16.91429876741455,1.0668619999923976
Classic Serial,120,1,N/A,4,31.838673847938765,1.0726647000119556
Classic Serial,120,1,N/A,5,21.889080319423584,1.1017797000095015
Classic Serial,120,1,N/A,6,21.889149706810173,1.0704003999999259
Classic Serial,120,1,N/A,7,13.929421989128144,1.0737349000119139
Classic Serial,120,1,N/A,8,16.914340378074712,1.1117533999931766
Classic Serial,120,1,N/A,9,18.904210866926206,1.0983888000046136
Island Parallel,120,2,10,0,30.205382632490796,2.181582100005471
Island Parallel,120,2,10,1,28.98603765124315,2.117828299989924
Island Parallel,120,2,10,2,44.72148794256324,2.169645699992543
Island Parallel,120,2,10,3,21.241326498824492,2.2088900999951875
Island Parallel,120,2,10,4,40.43070205808036,2.0871684000012465
Island Parallel,120,2,10,5,25.53355315042907,2.1293934999994235
Island Parallel,120,2,10,6,21.81609860631886,2.1413529999990715
Island Parallel,120,2,10,7,29.174942039802005,2.2237480000039795
Island Parallel,120,2,10,8,28.001696596036396,2.293767299997853
Island Parallel,120,2,10,9,32.53243195314684,2.1121013999945717
Island Parallel,120,2,25,0,30.916032498135564,2.1701120999932755
Island Parallel,120,2,25,1,37.07819793956588,2.4287863000063226
Island Parallel,120,2,25,2,30.05150700533548,2.4951207999984035
Island Parallel,120,2,25,3,32.23214558090348,2.496559100007289
Island Parallel,120,2,25,4,11.274370728107954,2.3884863999992376
Island Parallel,120,2,25,5,32.32367031930582,2.584285100005218
Island Parallel,120,2,25,6,31.644344647577384,2.4457092999946326
Island Parallel,120,2,25,7,18.938373383238144,2.4618044999951962
Island Parallel,120,2,25,8,20.455084909310898,2.6059390000009444
Island Parallel,120,2,25,9,31.183685941634508,2.466607499998645
Island Parallel,120,2,100,0,32.73246393398401,2.2167828000092413
Island Parallel,120,2,100,1,26.196057579880716,2.3133049000025494
Island Parallel,120,2,100,2,30.069312958716324,2.58969489998708
Island Parallel,120,2,100,3,30.36820095989529,2.247521199999028
Island Parallel,120,2,100,4,32.339897440915905,2.2255220000079134
Island Parallel,120,2,100,5,39.60249526348565,2.3309169999993173
Island Parallel,120,2,100,6,32.44099881953693,2.130345900004613
Island Parallel,120,2,100,7,38.46545960820424,2.247279500006698
Island Parallel,120,2,100,8,25.01112425403869,2.3360320000065258
Island Parallel,120,2,100,9,38.34918437238073,2.1808374999964144
Island Parallel,120,4,10,0,33.36840642622249,2.213349500001641
Island Parallel,120,4,10,1,53.14128968115034,2.358759499998996
Island Parallel,120,4,10,2,41.723352537384244,2.320227899996098
Island Parallel,120,4,10,3,36.36825194416821,2.5549445999931777
Island Parallel,120,4,10,4,18.165010999018932,2.2793997999979183
Island Parallel,120,4,10,5,35.311668358074,2.2221162999921944
Island Parallel,120,4,10,6,46.49451068461431,2.246462800001609
Island Parallel,120,4,10,7,32.93309785863789,2.2819535000016913
Island Parallel,120,4,10,8,27.984661550461226,2.561153100003139
Island Parallel,120,4,10,9,28.388307333120622,2.440742399994633
Island Parallel,120,4,25,0,35.42969110574737,2.4427322000119602
Island Parallel,120,4,25,1,30.36962523888485,2.2287088000011863
Island Parallel,120,4,25,2,40.42520931406938,2.2021941999992123
Island Parallel,120,4,25,3,22.563753615965197,2.2446768999943743
Island Parallel,120,4,25,4,42.08617911319004,2.430230300000403
Island Parallel,120,4,25,5,26.049912579695473,2.2077161000052
Island Parallel,120,4,25,6,37.137186760058086,2.2767696999944746
Island Parallel,120,4,25,7,35.74886184956355,2.284641599995666
Island Parallel,120,4,25,8,41.83559272348708,2.25030169999809
Island Parallel,120,4,25,9,27.83285661079148,2.339355100004468
Island Parallel,120,4,100,0,40.23566015689261,2.2338707000017166
Island Parallel,120,4,100,1,44.29117125710067,2.372849799998221
Island Parallel,120,4,100,2,35.250323841763446,2.308557700001984
Island Parallel,120,4,100,3,29.582546296225388,2.3264438999904087
Island Parallel,120,4,100,4,45.52048621160347,2.043766799994046
Island Parallel,120,4,100,5,32.55808647564086,2.3958281999948667
Island Parallel,120,4,100,6,36.34356696095651,2.2009226999944076
Island Parallel,120,4,100,7,24.814734078982667,2.2034880999999586
Island Parallel,120,4,100,8,27.440789042080695,2.043837800010806
Island Parallel,120,4,100,9,42.24218614412575,2.2559005999937654
Island Parallel,120,8,10,0,40.93555436770538,2.4446413999976357
Island Parallel,120,8,10,1,27.69778436704638,2.2505139999993844
Island Parallel,120,8,10,2,25.853663530385546,2.3561730999936117
Island Parallel,120,8,10,3,24.021262629890344,2.40203090000432
Island Parallel,120,8,10,4,32.7541131568469,2.3611126000032527
Island Parallel,120,8,10,5,28.892591110796957,2.44965169999341
Island Parallel,120,8,10,6,30.230410844045224,2.6453662999992957
Island Parallel,120,8,10,7,21.781887397063457,2.759867100001429
Island Parallel,120,8,10,8,36.48499809587574,2.6138481000089087
Island Parallel,120,8,10,9,44.279586206661605,2.557919099999708
Island Parallel,120,8,25,0,34.04965402110227,2.5342786999972304
Island Parallel,120,8,25,1,33.73137178867964,2.698988100004499
Island Parallel,120,8,25,2,29.9787812647277,2.3290903000015533
Island Parallel,120,8,25,3,22.519756987206733,2.3244634000002407
Island Parallel,120,8,25,4,37.483038700919906,2.6359775000019
Island Parallel,120,8,25,5,26.748516439064048,2.510474199996679
Island Parallel,120,8,25,6,30.349606163167266,2.7479581000079634
Island Parallel,120,8,25,7,25.906104110842648,2.1823711000033654
Island Parallel,120,8,25,8,44.793837024127015,2.399723199996515
Island Parallel,120,8,25,9,34.058497299640976,2.2929757999954745
Island Parallel,120,8,100,0,34.32431327775305,2.767582800006494
Island Parallel,120,8,100,1,23.834046006228192,2.280276800011052
Island Parallel,120,8,100,2,42.34412153179329,2.240181899993331
Island Parallel,120,8,100,3,39.89009429024739,2.294535300010466
Island Parallel,120,8,100,4,28.417586885950357,2.2165961999999126
Island Parallel,120,8,100,5,38.68474939487248,2.364552899991395
Island Parallel,120,8,100,6,29.988271349508494,2.2510167000000365
Island Parallel,120,8,100,7,41.36198250683711,2.3047927000006894
Island Parallel,120,8,100,8,32.411382244170824,2.1526784999878146
Island Parallel,120,8,100,9,46.421651790940246,2.2561442000005627
